"zone","mass_grand_t_10m2","mass_building_commercial_industrial","mass_building_commercial_innercity","mass_building_highrise","mass_building_lightweight","mass_building_multifamily","mass_building_singlefamily","mass_building_skyscraper","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
597,10033414.8515625,903782.1875,11543.2265625,0,182905.8125,34151.62109375,1435725.375,0,2568109.5,0,0,588190.137214661,588190.137214661,35295.6274414062,2559.58764648438,992939.704101562,0,0,0,1030795.38769531,0,0,41477.923828125,13996.693359375,3379869.5,11104.4836425781,148997.6875,2952.00463867188,747463,866683.8125,602287.75,5846317.95117188,29797.587890625,1692.80651855469
598,39289867.125,4075624.1015625,59399.4027099609,0,1263898.03417969,587017.454101562,10374122.953125,0,16360073,243619.1875,1256.08251953125,3273617.29296875,3518491.50390625,24616.2169189453,1257.64392089844,1417424.0625,0,0,0,1443298.8125,0,0,169574.715332031,87451.056640625,8221458.828125,45179.5687255859,6172234.71875,18444.0314941406,0,2220448.515625,1013163.94140625,17967994.375,13408.8493041992,6648.2861328125
599,35179455.9342041,3151221.8125,31105.0205688477,0,715968.215835571,229555.765197754,6693782.54104614,0,10821658.6193085,123870.36328125,0,1844180.53781128,1968050.97531128,31663.376953125,2618.04125976562,3509653.9039917,0,0,0,3543933.3414917,0,0,52372.75390625,51940.4876708984,11316160.7213135,13935.83984375,4045327.25,10954.6181030273,105912.65625,2426211.21325684,807408.8203125,18845821.425415,15627.4224243164,0
600,28561961.0046387,3497198.75,142196.546875,10758.958984375,979272.96875,966182.875,8923731.5,0,14519345.5,330732.46875,163807.284179688,1608868.25,2103408.75,21749.4621582031,3190.8701171875,1458926.15625,0,0,0,1483865.625,0,0,0,42521.083984375,7426616.11633301,0,0,8968.00708007812,903049.78125,1316261.75,743331.5703125,10455343.0046387,13221.9111862183,1399.63891601562
601,12688707,1343255.75,51801.37890625,92575.03125,382358.34375,226931.53125,2767903.25,0,4864814.5,0,0,517975.5,517975.5,6161.92919921875,0,690431.375,0,0,0,696593.25,0,0,0,12991.9208984375,5625475,0,0,2740.08984375,0,457745.65625,480227.71875,6609334.5,29075.443359375,1073.37182617188
602,29872842.9296875,3034448.74630737,99568.4296875,90685.0234375,758970.137573242,295994.086425781,5972746.80957031,0,10252419.5957031,334132.0625,585.525085449219,2333225.19152832,2667947.69152832,31409.7741699219,4220.85400390625,2682958.625,0,0,0,2718588.625,0,0,128063.7421875,36918.9819335938,6976459.40136719,34170.8559570312,5415964.3125,7786.48040771484,90986.1560058594,886449.6875,608900.423339844,14233904.7529297,45709.49609375,2506.11059570312
603,13240545.8320312,956710.9453125,7756.49072265625,0,651028.7734375,228026.375,4186866.1875,0,6030390.375,30147.197265625,4265.88720703125,827724.483886719,862137.483886719,2036.64990234375,0,285155.75,0,0,0,287192.359375,0,0,0,30589.7528076172,4125014.83209181,0,0,6451.60763549805,131871.34375,1471262.73779297,287258.5,6060830.81982422,7653.84924316406,742.376098632812
604,22929764.6796875,1825577,109803.4609375,5129.37744140625,853660.6875,771018.6875,6844762,0,10409953,102205.8359375,5557.921875,825517.730957031,933281.543457031,39482.3359375,0,1988091.125,0,0,0,2054272.625,0,26699.27734375,0,61985.361328125,6230858.5,0,0,13073.1602783203,642088.6875,1413420.25,1133237.125,9532216.69628906,32264.537109375,5295.93212890625
605,11553485.5,370569.78125,4575.97937011719,0,288610.546875,145803.37109375,2434448.5,0,3244008,0,0,212744.8515625,212744.8515625,6963.67333984375,0,486391.25,0,0,0,538461.9921875,0,45107.0244140625,62958.8828125,13149.3623046875,2925165.875,16752.6997070312,2816291.25,2773.29528808594,752620.8125,760511.984375,189266.677734375,7558261.75,10156.6109619141,8591.70593261719
606,164962340,28734444,401104.349609375,70875.076171875,5641134.25,5714549.625,66440424,0,107002652,985669.59375,1369968.0625,21402581,23758206,74324.3515625,34370.48828125,2583286.125,0,0,0,2695902.5,590.674255371094,3332.65779876709,158737.625,284483.7890625,18975818.5,42238.4130859375,4808946.75,59999.6865234375,34180.8046875,4689865.875,2378000.5625,31505606,21039.9326171875,52283.16015625
