"","FIPS","POPPCT_URBAN","POPPCT_RURAL"
"278","08123",79.5399980223475,20.4600019776525
"279","08125",35.0891167977696,64.9108832022304
"280","09001",95.415939068245,4.58406093175499
"281","09003",94.5913598668477,5.40864013315228
"282","09005",58.5514434493253,41.4485565506747
"283","09007",75.4599338467853,24.5400661532147
"284","09009",96.3600188758657,3.63998112413432
"285","09011",74.1916768531864,25.8083231468136
"286","09013",61.7921161037651,38.2078838962349
"287","09015",50.2389637585706,49.7610362414294
"288","10001",73.0306204177192,26.9693795822808
"289","10003",95.397592106656,4.60240789334403
"290","10005",58.6963909812575,41.3036090187425
"291","11001",100,0
"292","12001",78.8065627324773,21.1934372675227
"293","12003",40.5089433892679,59.4910566107321
"294","12005",88.0001421363087,11.9998578636913
"295","12007",24.4705469845722,75.5294530154278
"296","12009",94.9256132033803,5.07438679661965
"297","12011",99.9830670009027,0.0169329990972881
"298","12013",32.4854700854701,67.5145299145299
"299","12015",91.1156534023428,8.88434659765718
"300","12017",65.481180435583,34.518819564417
"301","12019",85.031304848977,14.968695151023
"302","12021",91.5140582234387,8.48594177656133
"303","12023",37.9425745213309,62.0574254786691
"304","12027",53.7576731111239,46.2423268888761
"305","12029",22.9752770673487,77.0247229326513
"306","12031",97.0885019953417,2.9114980046583
"307","12033",91.697774671644,8.30222532835605
"308","12035",89.6787744524327,10.3212255475673
"309","12037",31.9594770109966,68.0405229890034
"310","12039",34.6202763586195,65.3797236413805
"311","12041",16.0812326583624,83.9187673416376
"312","12043",29.3619993790748,70.6380006209252
"313","12045",22.9149593393431,77.0850406606569
"314","12047",36.5159808095142,63.4840191904858
"315","12049",52.1906891204789,47.8093108795211
"316","12051",62.1078180889116,37.8921819110884
"317","12053",80.624848070935,19.375151929065
"318","12055",78.934261939951,21.065738060049
"319","12057",96.4871390614907,3.51286093850927
"320","12059",21.2274803031063,78.7725196968937
"321","12061",95.0321673863274,4.96783261367259
"322","12063",24.6371567563221,75.3628432436779
"323","12065",0,100
"324","12067",0,100
"325","12069",80.7461319903586,19.2538680096414
"326","12071",94.1797547975447,5.82024520245526
