"","FIPS","YEAR","RDEATH"
"551","16067","2011",8.7366592207
"552","16069","2011",12.443970388
"553","16071","2011",8.6823888302
"554","16073","2011",8.4905247494
"555","16075","2011",8.9412181303
"556","16077","2011",6.77229747
"557","16079","2011",14.718035496
"558","16081","2011",3.4462386766
"559","16083","2011",9.1875742876
"560","16085","2011",7.2075782537
"561","16087","2011",11.027420863
"562","17001","2011",11.460806275
"563","17003","2011",13.705395728
"564","17005","2011",9.5176414271
"565","17007","2011",6.3567152044
"566","17009","2011",8.1153539599
"567","17011","2011",11.324442401
"568","17013","2011",9.8570724495
"569","17015","2011",11.821180159
"570","17017","2011",10.197344289
"571","17019","2011",6.1421692284
"572","17021","2011",11.977254733
"573","17023","2011",12.741205798
"574","17025","2011",13.211861638
"575","17027","2011",7.6969712945
"576","17029","2011",9.5264675784
"577","17031","2011",7.4964516053
"578","17033","2011",11.825049903
"579","17035","2011",11.295350834
"580","17037","2011",6.4409933443
"581","17039","2011",11.225783089
"582","17041","2011",9.6351683645
"583","17043","2011",6.370691779
"584","17045","2011",12.195452451
"585","17047","2011",9.5501007237
"586","17049","2011",10.190673636
"587","17051","2011",8.0433170819
"588","17053","2011",15.664115585
"589","17055","2011",13.413598441
"590","17057","2011",12.515881383
"591","17059","2011",15.908885474
"592","17061","2011",9.8032148778
"593","17063","2011",7.5808205241
"594","17065","2011",13.158674649
"595","17067","2011",8.978734576
"596","17069","2011",13.468013468
"597","17071","2011",12.500858575
"598","17073","2011",10.44324217
"599","17075","2011",13.040320265
"600","17077","2011",8.0336585447
"601","17079","2011",11.088864931
"602","17081","2011",11.483278282
"603","17083","2011",10.637834067
"604","17085","2011",10.687157746
"605","17087","2011",9.5054793982
"606","17089","2011",5.4000374815
"607","17091","2011",8.9099617956
"608","17093","2011",4.2465771124
"609","17095","2011",13.141823759
"610","17097","2011",5.7333413003
"611","17099","2011",11.453403473
"612","17101","2011",12.765580213
"613","17103","2011",10.392222595
"614","17105","2011",9.8378809925
"615","17107","2011",10.37107988
"616","17109","2011",9.2088097613
"617","17111","2011",6.1947876998
"618","17113","2011",6.4569337196
"619","17115","2011",10.592808991
"620","17117","2011",11.158097471
"621","17119","2011",9.8299829351
"622","17121","2011",14.078949043
"623","17123","2011",13.53287693
"624","17125","2011",14.010026784
"625","17127","2011",14.154789472
"626","17129","2011",9.1360163818
"627","17131","2011",10.022918258
"628","17133","2011",8.0352827453
"629","17135","2011",12.174580144
"630","17137","2011",10.734813479
"631","17139","2011",14.403499916
"632","17141","2011",8.8468979508
"633","17143","2011",9.716442881
"634","17145","2011",11.171429853
"635","17147","2011",8.8654606445
"636","17149","2011",13.132979048
"637","17151","2011",12.929112795
"638","17153","2011",11.723910172
"639","17155","2011",8.8421755088
"640","17157","2011",10.704301156
"641","17159","2011",11.116600791
"642","17161","2011",10.492532205
"643","17163","2011",9.0414340462
"644","17165","2011",14.334758779
"645","17167","2011",9.0724205974
"646","17169","2011",12.134142276
"647","17171","2011",12.125805229
"648","17173","2011",10.12726295
"649","17175","2011",12.869359072
"650","17177","2011",11.01876139
"651","17179","2011",10.252970487
"652","17181","2011",10.84041442
"653","17183","2011",12.621585487
"654","17185","2011",14.086883172
"655","17187","2011",10.126867141
"656","17189","2011",10.789401803
"657","17191","2011",11.676996317
"658","17193","2011",15.280775688
"659","17195","2011",11.012914055
"660","17197","2011",5.7500049645
"661","17199","2011",11.41449641
"662","17201","2011",9.3897830056
"663","17203","2011",8.2059221986
"664","18001","2011",9.1844445736
"665","18003","2011",7.9673361598
"666","18005","2011",9.2205286264
"667","18007","2011",9.2556013319
"668","18009","2011",11.483855744
"669","18011","2011",7.5937682333
"670","18013","2011",9.1140243701
"671","18015","2011",9.5422692709
"672","18017","2011",8.7033542573
"673","18019","2011",9.1778237119
"674","18021","2011",10.914305936
"675","18023","2011",10.233189948
"676","18025","2011",10.314595152
"677","18027","2011",10.303125491
"678","18029","2011",9.2736012152
"679","18031","2011",9.9419729207
"680","18033","2011",9.171283744
"681","18035","2011",9.9335218155
"682","18037","2011",9.5162192061
