"","FIPS","YEAR","RNETMIG"
"438","13161","2011",0.396445208
"439","13163","2011",-8.145549676
"440","13165","2011",-25.53967771
"441","13167","2011",1.4010507881
"442","13169","2011",0.139406824
"443","13171","2011",-6.424159231
"444","13173","2011",30.894782862
"445","13175","2011",-12.67203324
"446","13177","2011",-1.719539585
"447","13179","2011",23.228912649
"448","13181","2011",-9.84724151
"449","13183","2011",29.532735486
"450","13185","2011",7.686464588
"451","13187","2011",2.9305717908
"452","13189","2011",-11.70048598
"453","13191","2011",-6.939090208
"454","13193","2011",-13.53998419
"455","13195","2011",-2.837583797
"456","13197","2011",-7.911936705
"457","13199","2011",-9.812050857
"458","13201","2011",-10.16060308
"459","13205","2011",-7.249157818
"460","13207","2011",5.0263694001
"461","13209","2011",-15.40662485
"462","13211","2011",0.2792672029
"463","13213","2011",-8.187786763
"464","13215","2011",14.928618016
"465","13217","2011",-3.370276752
"466","13219","2011",7.2519602955
"467","13221","2011",-14.99645354
"468","13223","2011",-2.792876768
"469","13225","2011",-5.535287458
"470","13227","2011",-1.971917179
"471","13229","2011",-4.735427918
"472","13231","2011",-8.737782508
"473","13233","2011",-9.755155262
"474","13235","2011",-8.484543011
"475","13237","2011",0.1414060475
"476","13239","2011",-25.78046324
"477","13241","2011",0.9221122518
"478","13243","2011",-15.6219232
"479","13245","2011",-8.315014576
"480","13247","2011",-5.047931929
"481","13249","2011",-1.987281399
"482","13251","2011",-8.856292811
"483","13253","2011",4.1156968103
"484","13255","2011",-4.448259716
"485","13257","2011",-13.53461739
"486","13259","2011",-5.423617388
"487","13261","2011",-21.80627625
"488","13263","2011",-4.224326293
"489","13265","2011",8.8028169014
"490","13267","2011",-5.853351928
"491","13269","2011",-37.40489052
"492","13271","2011",-17.58188089
"493","13273","2011",-16.80938788
"494","13275","2011",-4.723686714
"495","13277","2011",17.983048766
"496","13279","2011",-6.686382924
"497","13281","2011",13.165995738
"498","13283","2011",-7.143898527
"499","13285","2011",3.9500159634
"500","13287","2011",3.137254902
"501","13289","2011",-15.28089888
"502","13291","2011",0.9384824738
"503","13293","2011",-4.594804906
