"","FIPS","YEAR","RINTERNATIONALMIG"
"524","16013","2011",2.2181320496
"525","16015","2011",1.286541348
"526","16017","2011",0.2203613927
"527","16019","2011",0.2850518794
"528","16021","2011",0.458253139
"529","16023","2011",-0.347947112
"530","16025","2011",-0.896458987
"531","16027","2011",0.0735485328
"532","16029","2011",0.8684324794
"533","16031","2011",-0.043303165
"534","16033","2011",6.2047569804
"535","16035","2011",0.3461005999
"536","16037","2011",0.4607233356
"537","16039","2011",2.0621648982
"538","16041","2011",-0.390762377
"539","16043","2011",-0.075947444
"540","16045","2011",1.1983582492
"541","16047","2011",2.0761694673
"542","16049","2011",-0.18308312
"543","16051","2011",0.0761382671
"544","16053","2011",1.2010141898
"545","16055","2011",-0.085781686
"546","16057","2011",2.6893888963
"547","16059","2011",0.2509567727
"548","16061","2011",-0.262260687
"549","16063","2011",-0.193461018
"550","16065","2011",0.8476821192
"551","16067","2011",2.0352444775
"552","16069","2011",0.6348964484
"553","16071","2011",1.4079549454
"554","16073","2011",0.262593549
"555","16075","2011",-0.663951841
"556","16077","2011",0.7666751853
"557","16079","2011",0.3148242887
"558","16081","2011",0.5907837731
"559","16083","2011",2.8911947059
"560","16085","2011",-0.411861614
"561","16087","2011",-0.492295574
"562","17001","2011",0.1786099679
"563","17003","2011",0
"564","17005","2011",1.070030693
"565","17007","2011",-0.498928228
"566","17009","2011",0.28983407
"567","17011","2011",0.3736491147
"568","17013","2011",0.394282898
"569","17015","2011",0.5224831009
"570","17017","2011",2.4209522412
"571","17019","2011",10.233654442
"572","17021","2011",0.518246599
"573","17023","2011",-0.061551719
"574","17025","2011",1.2340749882
"575","17027","2011",0.0527189815
"576","17029","2011",0.5395850777
"577","17031","2011",3.6537811087
"578","17033","2011",0.4548096116
"579","17035","2011",1.2650792934
"580","17037","2011",1.4217896419
"581","17039","2011",-0.060353673
"582","17041","2011",1.4051287198
"583","17043","2011",3.3351168376
"584","17045","2011",-0.271010054
"585","17047","2011",0.1492203238
"586","17049","2011",0.3503956551
"587","17051","2011",1.0784335752
"588","17053","2011",0.0715256419
"589","17055","2011",0.2997452166
"590","17057","2011",-0.054064282
"591","17059","2011",0
"592","17061","2011",0.5045772364
"593","17063","2011",-0.019949528
"594","17065","2011",0
"595","17067","2011",0.1050144395
"596","17069","2011",0
"597","17071","2011",-0.824232434
"598","17073","2011",0.0397081451
"599","17075","2011",0.3716153443
"600","17077","2011",4.0085471501
"601","17079","2011",0.2053493506
"602","17081","2011",0.8515689513
"603","17083","2011",0.6975628897
"604","17085","2011",0.7507507508
"605","17087","2011",0
"606","17089","2011",0.9660174385
"607","17091","2011",0.9429929892
"608","17093","2011",0.9388983879
"609","17095","2011",1.2687351468
"610","17097","2011",1.7370743741
"611","17099","2011",0.5454001654
"612","17101","2011",-0.118199817
"613","17103","2011",0.0558721645
"614","17105","2011",0.5408259184
"615","17107","2011",0.5284626691
"616","17109","2011",0.8287928785
"617","17111","2011",0.7447993575
"618","17113","2011",3.6217528227
"619","17115","2011",0.5418316619
"620","17117","2011",0.1465416178
"621","17119","2011",0.4572949701
"622","17121","2011",0.0509184414
"623","17123","2011",0
"624","17125","2011",0
"625","17127","2011",0
"626","17129","2011",-0.315035048
"627","17131","2011",0.2444614209
"628","17133","2011",-0.181246979
"629","17135","2011",0.1000650423
"630","17137","2011",0.7889101769
"631","17139","2011",0.1346121487
"632","17141","2011",0.112699337
"633","17143","2011",2.0912873751
"634","17145","2011",1.0318991431
"635","17147","2011",0.1797052833
"636","17149","2011",-0.061083623
"637","17151","2011",0.4458314757
"638","17153","2011",0.3302509908
"639","17155","2011",0.1668335002
"640","17157","2011",0.2392022605
"641","17159","2011",0.2470355731
"642","17161","2011",2.2774488506
